Zc,E0Tn,betaTn,elastic
-7221.89379668,0.70425435,0.00068402,0.70425431
-7229.58386898,0.70581850,0.05456379,0.70556009
-7259.67781245,0.68627600,0.00062859,0.68627596
-7251.34506382,0.69081146,0.00063273,0.69081143
-7257.76330527,0.68550541,0.04597367,0.68531654
-7300.96117684,0.68269980,0.00062532,0.68269976
-7257.37513146,0.69176732,0.00063361,0.69176728
-7266.20823567,0.68934289,0.00071157,0.68934284
-7263.86545008,0.66297746,0.31123093,0.65396727
-7263.62157307,0.68797282,0.00063598,0.68797278
-7266.90807168,0.68714052,0.00075614,0.68714047
-7274.80653928,0.68691282,0.00126359,0.68691267
-7262.58003198,0.68518444,0.00062757,0.68518441
-7293.90623585,0.66549097,0.21138797,0.66136551
-7276.33561708,0.63952664,0.50842412,0.61427085
-7269.71888565,0.68761469,0.00070114,0.68761464
-7255.75209838,0.69900204,0.00068524,0.69900200
-7285.35110127,0.61768478,0.68293495,0.56956165
-7358.08010867,0.62023056,0.35318984,0.60778690
-7266.26641226,0.65546688,0.40356734,0.64006693
-7313.44786372,0.61497829,0.63468353,0.57345659
-7289.07859706,0.64817436,0.37323410,0.63487424
-7253.81108728,0.69178048,0.01676039,0.69175561
-7263.72891589,0.69162037,0.00083258,0.69162031
-7265.36728968,0.69095662,0.00079356,0.69095656
-7284.60688911,0.64367728,0.44324054,0.62470298
-7298.98003727,0.68044006,0.00109930,0.68043995
-7260.64345543,0.66599880,0.21392010,0.66177683
-7286.34649840,0.67027147,0.00061391,0.67027143
-7250.35374495,0.68288219,0.03696200,0.68275964
-7257.61005519,0.65207913,0.40553572,0.63644398
-7290.09217928,0.62118424,0.62138043,0.58186849
-7253.19535609,0.68115844,0.00062389,0.68115841
-7258.23469483,0.61816506,0.66021154,0.57335227
-7250.23392326,0.67215076,0.23354380,0.66716202
-7255.01690447,0.65302223,0.35619296,0.64101173
-7255.29420848,0.64980673,0.39293273,0.63508681
-7266.00290037,0.65700946,0.22730380,0.65217499
-7256.97404299,0.67125420,0.14653093,0.66929214
-7307.82426041,0.66776838,0.13567142,0.66607791
-7238.57411113,0.68546875,0.01946058,0.68543491
-7308.74854643,0.67835587,0.00079048,0.67835582
-7264.27619470,0.64059705,0.43524435,0.62222059
-7270.42182298,0.67348996,0.00061687,0.67348992
-7240.43107593,0.63679884,0.54591624,0.60745762
-7250.29931297,0.63343370,0.47913006,0.61083260
-7244.28607382,0.67761357,0.00062064,0.67761354
-7268.14911983,0.63794149,0.37078614,0.62460207
-7236.33896127,0.63865832,0.50014887,0.61419965
-7241.77383256,0.65400897,0.28890359,0.64614490
-7229.65441847,0.64805124,0.40530337,0.63233475
-7235.97939653,0.68139924,0.00067934,0.68139920
-7229.93467405,0.66394248,0.30609330,0.65524210
-7237.50403106,0.67463345,0.00061791,0.67463341
-7232.69905173,0.65108140,0.35793251,0.63891534
-7225.15520817,0.68500093,0.07228746,0.68453353
-7238.13081693,0.63535400,0.52967454,0.60770610
-7252.08678325,0.65607918,0.25437310,0.65001034
-7237.66005531,0.66941150,0.09590822,0.66856934
-7232.13920295,0.63329317,0.54053430,0.60437448
-7217.62969445,0.66181428,0.29353984,0.65379114
-7280.34198142,0.66673870,0.00061074,0.66673866
-7233.70523717,0.66775611,0.18547262,0.66459327
-7222.15043351,0.65348351,0.32779404,0.64333366
-7199.42825088,0.67618394,0.22895565,0.67141879
-7219.48891931,0.62655255,0.64482424,0.58449364
-7236.90679939,0.67977917,0.00117052,0.67977905
-7276.52410674,0.63610293,0.37340855,0.62253216
-7213.14203603,0.68384416,0.00062634,0.68384412
-7223.97464155,0.64662935,0.35452788,0.63461208
-7216.06458230,0.62072312,0.66030294,0.57609652
-7198.01287899,0.68790034,0.00063007,0.68790031
-7189.60469571,0.69221248,0.03994510,0.69207127
-7218.28303961,0.68288905,0.00078606,0.68288900
-7213.91544488,0.67822547,0.09534139,0.67740406
-7199.77586803,0.67304060,0.17689110,0.67018696
-7203.00753356,0.67889474,0.09005816,0.67816262
-7190.40740137,0.64716202,0.47005700,0.62590085
-7218.95279045,0.62231634,0.57725757,0.58860633
-7203.94164553,0.68484705,0.00073997,0.68484700
-7194.46016720,0.68009375,0.17881923,0.67720781
-7212.63082994,0.69044264,0.00063250,0.69044260
-7209.43604994,0.67521699,0.12813954,0.67372589
-7207.80645474,0.68224383,0.00062488,0.68224380
-7213.73816236,0.65320940,0.37632613,0.63979208
-7213.01226923,0.67832592,0.06056083,0.67799467
-7217.80172789,0.66866815,0.16262343,0.66624126
-7213.68155052,0.66883260,0.20355452,0.66502731
-7234.05671368,0.67551143,0.00079916,0.67551137
-7245.44563494,0.63802394,0.37915920,0.62407030
-7210.61571522,0.66201078,0.33986043,0.65123644
-7219.47781204,0.62716578,0.61478972,0.58909764
-7207.45684275,0.64205375,0.51355385,0.61638070
-7231.10886963,0.64358555,0.37136454,0.63032388
-7212.82060933,0.67362220,0.11733218,0.67236927
-7223.59523104,0.68258880,0.00645936,0.68258506
-7249.03761749,0.63964113,0.41221180,0.62315788
-7250.01022973,0.63776505,0.43665410,0.61918299
-7256.99235139,0.64913575,0.23352200,0.64396971
-7223.93681560,0.65963869,0.29048812,0.65175627
-7244.91560629,0.64521017,0.35086827,0.63341563
-7217.16909462,0.66645815,0.20935540,0.66241779
-7233.91366404,0.68359488,0.00062980,0.68359485
-7235.57780768,0.68184831,0.00062569,0.68184827
-7263.70916624,0.61890034,0.53730900,0.58963698
-7244.23958846,0.67746436,0.00103390,0.67746426
-7216.07031501,0.67496792,0.19184947,0.67161963
-7228.52306796,0.67885075,0.09449600,0.67804459
-7247.41870498,0.66244750,0.17536489,0.65959796
-7235.78075391,0.68225551,0.00120592,0.68225538
-7240.30128115,0.62297018,0.57741491,0.58927869
-7248.45209192,0.65440975,0.27747363,0.64716354
-7318.44176040,0.64913657,0.00059456,0.64913654
-7242.42609003,0.67675501,0.00062027,0.67675498
-7283.22466881,0.62624546,0.39086358,0.61112071
-7239.80429781,0.65683440,0.31916129,0.64726586
-7235.21593563,0.68119434,0.07146456,0.68073497
-7261.84397741,0.65449469,0.18634698,0.65123687
-7240.52585673,0.66570055,0.18327014,0.66260297
-7273.78077645,0.62063960,0.57085286,0.58760027
-7290.48412638,0.60538816,0.57067813,0.57148912
-7326.33073317,0.63729903,0.00058371,0.63729899
-7255.98103736,0.63689451,0.44689312,0.61738944
-7282.64997176,0.65082811,0.27219238,0.64381780
-7261.31721607,0.64667558,0.31705419,0.63708335
-7272.05889305,0.64391661,0.34095145,0.63276239
-7289.98730806,0.65654840,0.14203183,0.65466374
-7659.04945791,0.56907490,0.12325497,0.56743744
-7330.96303230,0.59471868,0.66595057,0.54714054
-7272.64615301,0.61144548,0.66682831,0.56515018
-7288.55487888,0.67288457,0.00061632,0.67288453
-7254.61372926,0.67896283,0.00099287,0.67896275
-7275.35714723,0.64042352,0.42387152,0.62300326
-7274.49834467,0.64722001,0.28241534,0.63962750
-7271.23872050,0.67816897,0.00067132,0.67816893
-7267.04361871,0.67983487,0.00065149,0.67983483
-7357.49491069,0.64311502,0.00071168,0.64311498
-7294.77169773,0.66592681,0.05697369,0.66562819
-7269.00267972,0.64255097,0.34805912,0.63089735
-7276.05596637,0.64801723,0.27429669,0.64086629
-7270.44976989,0.63338700,0.40578944,0.61725815
-7266.21735485,0.65736020,0.24752901,0.65162626
-7296.81870044,0.67315585,0.00071174,0.67315581
-7280.33004210,0.63538438,0.42194296,0.61798376
-7248.57140514,0.68018818,0.00062300,0.68018814
-7244.86584498,0.64720778,0.34426490,0.63589262
-7265.77082840,0.67146391,0.00065053,0.67146387
-7250.95697191,0.61366196,0.62835797,0.57289953
-7298.37926881,0.60385426,0.61363894,0.56436890
-7253.23922876,0.66878640,0.00061255,0.66878637
-7273.29011172,0.67318543,0.03370972,0.67308203
-7259.19735512,0.66975374,0.07837260,0.66919178
-7262.94702116,0.67259761,0.05576320,0.67231439
-7241.74600471,0.66354272,0.18251356,0.66046068
-7275.38749515,0.65275875,0.19460608,0.64919545
-7310.69114398,0.66573186,0.00307474,0.66573099
-7251.49172185,0.67173589,0.00061526,0.67173585
-7262.52529073,0.62392447,0.55856523,0.59250515
-7269.03708610,0.61411220,0.55641012,0.58241630
-7251.49798034,0.66804824,0.05599600,0.66776069
-7318.56705351,0.59776304,0.59162920,0.56075179
-7265.86191141,0.67455306,0.00061784,0.67455303
-7256.06636633,0.67331702,0.06693129,0.67290938
-7251.47786747,0.67128015,0.00061494,0.67128011
-7245.65182173,0.64251718,0.43271245,0.62441286
-7283.29143524,0.65255032,0.19559854,0.64894932
-7343.12024145,0.64379368,0.00118282,0.64379355
-7240.72598188,0.67580431,0.00061898,0.67580428
-7237.52346243,0.68220854,0.00084207,0.68220848
-7271.72624587,0.66189814,0.08353601,0.66125208
-7330.38927863,0.62986958,0.21834824,0.62521627
-7285.57987724,0.63346907,0.30395688,0.62447203
-7288.11688211,0.65290313,0.19737143,0.64923836
-7255.25110175,0.63760834,0.31553468,0.62797137
-7240.66139031,0.64319468,0.36961540,0.63005078
-7276.51659867,0.62827406,0.51057030,0.60232445
-7232.09585718,0.63652406,0.42499407,0.61889978
-7261.79089098,0.65576618,0.13630793,0.65402848
-7241.28033903,0.63625028,0.46150265,0.61540539
-7319.85385106,0.59450862,0.59157466,0.55728837
-7263.84441499,0.65133781,0.23804442,0.64598720
-7249.95946947,0.66979625,0.04576424,0.66960470
-7293.98751473,0.65572227,0.00060060,0.65572224
