Zc,E0Tn,betaTn,elastic
-4691.54057319,0.75103701,0.00068789,0.75103697
-4697.51869979,0.75087087,0.00068775,0.75087083
-4703.76708638,0.74948383,0.00068648,0.74948379
-4727.52060533,0.75000836,0.00068697,0.75000832
-4742.74390707,0.74747899,0.00068463,0.74747895
-4748.91975349,0.75056875,0.00068748,0.75056871
-4775.02199140,0.74759306,0.00068474,0.74759302
-4783.67519566,0.75207618,0.00068886,0.75207614
-4794.97894038,0.75012731,0.00068707,0.75012727
-4807.57899410,0.75270191,0.00068942,0.75270187
-4829.08933957,0.74790357,0.00068502,0.74790353
-4832.55739778,0.74902659,0.00068605,0.74902655
-4840.09134732,0.75170589,0.00068851,0.75170586
-4868.56593993,0.74791262,0.00068503,0.74791258
-4881.39515822,0.74577212,0.00068307,0.74577208
-4889.65271200,0.74781317,0.00091564,0.74781310
-4897.40061141,0.74918825,0.00068620,0.74918821
-4914.93100588,0.74864331,0.00068571,0.74864327
-4929.04239295,0.74911582,0.00068613,0.74911578
-4945.58217293,0.74948904,0.00070982,0.74948900
-4959.11188904,0.74767280,0.00068481,0.74767276
-4968.96328853,0.75100237,0.00068786,0.75100233
-4962.55630022,0.75056838,0.00068747,0.75056834
-4970.06233383,0.74901857,0.00068604,0.74901853
-4956.87035678,0.75104153,0.00068789,0.75104149
-4943.07309403,0.75271547,0.00068944,0.75271543
-4939.63465315,0.75216847,0.00068893,0.75216843
-4916.55088706,0.75098786,0.00068785,0.75098782
-4909.59934718,0.74961902,0.00068660,0.74961899
-4900.92232546,0.74662834,0.00068385,0.74662830
-4890.19883482,0.74892259,0.00070235,0.74892255
-4880.65286907,0.75079450,0.00068768,0.75079446
-4873.28239598,0.75007672,0.00068701,0.75007668
-4869.42900242,0.75143355,0.00068826,0.75143351
-4861.40939746,0.74859270,0.00068566,0.74859266
-4849.89917992,0.74620711,0.00068349,0.74620707
-4838.74513213,0.75073745,0.00068762,0.75073741
-4828.48848372,0.75125709,0.00068810,0.75125705
-4817.41181618,0.74865137,0.00068570,0.74865133
-4802.59669213,0.75170309,0.00068851,0.75170305
-4802.42392993,0.74753062,0.00068468,0.74753058
-4788.69614253,0.75214067,0.00068894,0.75214063
-4778.60305643,0.74924499,0.00069917,0.74924495
-4768.35729780,0.74908512,0.00068611,0.74908508
-4752.11827698,0.75032261,0.00068724,0.75032257
-4748.72622809,0.74634762,0.00068360,0.74634759
-4885.16792676,0.72144910,0.00066080,0.72144907
-4858.47633952,0.71973395,0.00065923,0.71973391
-4858.20963923,0.72218586,0.00066148,0.72218582
-4711.38498429,0.74809171,0.00068529,0.74809168
-4948.66601128,0.69396729,0.00063566,0.69396726
-4802.00363819,0.70345375,0.06576972,0.70307701
-4680.76863369,0.74705276,0.00068425,0.74705272
-4676.38386232,0.74415665,0.00068162,0.74415661
-4918.68168794,0.68255720,0.00062517,0.68255716
-4636.92192526,0.75181969,0.00068861,0.75181965
-4628.86163719,0.75109681,0.00068796,0.75109677
-4769.32760582,0.70220901,0.00064317,0.70220898
-4774.48212480,0.71925934,0.00065879,0.71925930
-4603.57470179,0.74993241,0.00068688,0.74993237
-4695.48624922,0.71497853,0.00065487,0.71497849
-4712.34882997,0.71074270,0.00065101,0.71074267
-4674.66412957,0.71513732,0.00065502,0.71513729
-4722.09036631,0.71758562,0.00065728,0.71758558
-4628.69988517,0.72229622,0.00066157,0.72229618
-4551.70864781,0.74502013,0.00068239,0.74502009
-4519.70511037,0.75032905,0.00068726,0.75032901
-4529.77486657,0.74831767,0.00068541,0.74831763
-4502.89673502,0.75329558,0.00068998,0.75329554
-4487.97339536,0.75250017,0.00071365,0.75250013
-4496.08514481,0.75080701,0.00068769,0.75080697
-4491.64599120,0.74831564,0.00068541,0.74831560
-4477.73506414,0.74950946,0.00068651,0.74950942
-4466.64973061,0.75141845,0.00068825,0.75141841
-4452.81367180,0.75151667,0.00069915,0.75151663
-4444.01719717,0.75056877,0.00068746,0.75056874
-4428.46733779,0.75008364,0.00068704,0.75008360
-4425.45447778,0.75306008,0.00068975,0.75306004
-4412.96407582,0.75216712,0.00068892,0.75216708
-4402.89299647,0.75134694,0.00068819,0.75134690
-4400.35497809,0.74901796,0.00068605,0.74901792
-4390.00493842,0.74945815,0.00068644,0.74945811
-4370.33642010,0.75084667,0.00068772,0.75084664
-4359.45854247,0.75152168,0.00068835,0.75152165
-4363.79842318,0.74824195,0.00068533,0.74824191
-4339.02192330,0.75276883,0.00068948,0.75276879
-4360.94321871,0.74637166,0.00068363,0.74637162
-4365.58605273,0.75135267,0.00068818,0.75135263
-4384.87485833,0.75062625,0.00068751,0.75062621
-4387.79010324,0.75019109,0.00068713,0.75019106
-4415.48777271,0.74745056,0.00069799,0.74745052
-4416.79679931,0.74968712,0.00068666,0.74968708
-4430.92150790,0.74903782,0.00068606,0.74903778
-4444.95460693,0.74808257,0.00068518,0.74808253
-4454.99269745,0.74841307,0.00068549,0.74841303
-4469.58667797,0.74861707,0.00068568,0.74861703
-4491.78683154,0.74735105,0.00068451,0.74735102
-4495.99413821,0.75145176,0.00068827,0.75145173
-4510.65818604,0.75152322,0.00068834,0.75152318
-4517.57643754,0.75004682,0.00068699,0.75004678
-4541.02657699,0.74674845,0.00068398,0.74674841
-4548.16440218,0.74814313,0.00068524,0.74814310
-4582.03353491,0.73966433,0.00067747,0.73966429
-4585.35349604,0.73912474,0.00067698,0.73912470
-4591.77607700,0.74614117,0.00068342,0.74614113
-4597.85495019,0.74790955,0.00068503,0.74790951
-4749.39375422,0.71872574,0.00065830,0.71872571
-4791.97486528,0.71017004,0.00065049,0.71017001
-4843.42617327,0.69651742,0.00064165,0.69651739
-4845.63541113,0.70452963,0.00064531,0.70452960
-4674.92830819,0.74325943,0.00068077,0.74325940
-4696.94974736,0.73797991,0.00067594,0.73797987
-4693.73514799,0.74830980,0.00068539,0.74830976
-4849.85729884,0.71740885,0.00065709,0.71740881
-4857.98713163,0.67402585,0.29294489,0.66618188
-4730.67571331,0.74702909,0.00068422,0.74702905
-4741.36096565,0.74883626,0.00068589,0.74883622
-5165.81652172,0.63564983,0.00058220,0.63564980
-4771.62128283,0.74292650,0.00068048,0.74292646
-4774.87394486,0.75000882,0.00068697,0.75000878
-4890.85920983,0.70756585,0.07208744,0.70711586
-5135.97404222,0.66979365,0.00061348,0.66979362
-4821.02151256,0.74971049,0.00068681,0.74971046
-4830.75499167,0.73909779,0.00067696,0.73909775
-5003.50108975,0.71270950,0.04221255,0.71255635
-5009.64102789,0.71713769,0.00065686,0.71713765
-4871.32426509,0.74922321,0.00088763,0.74922314
-4869.67386696,0.74990645,0.00068686,0.74990641
-4882.83431640,0.75118790,0.00068804,0.75118787
-4903.56938388,0.74945517,0.00068644,0.74945513
-4919.45401677,0.74843681,0.00068551,0.74843677
-4933.34735571,0.75209249,0.00068886,0.75209245
-4938.99774942,0.75093338,0.00071290,0.75093334
-4960.21488924,0.74949381,0.00068648,0.74949377
-4977.70756456,0.74878507,0.00068585,0.74878503
-4981.07403865,0.74876379,0.00068581,0.74876375
-4989.85748138,0.74983134,0.00068678,0.74983130
-5017.31200031,0.74790718,0.00070355,0.74790714
-5026.24246457,0.74907869,0.00068610,0.74907865
-5038.67824649,0.74977975,0.00068678,0.74977971
-5051.37153502,0.75025723,0.00068719,0.75025719
-5068.45380393,0.74705623,0.00068425,0.74705619
-5070.04822027,0.75017026,0.00068711,0.75017022
-5085.77573467,0.75232495,0.00068907,0.75232491
-5110.19325631,0.74802728,0.00068516,0.74802724
-5111.63397637,0.74951650,0.00068651,0.74951646
-5118.62818499,0.75060875,0.00068752,0.75060871
-5133.07274422,0.75170226,0.00068851,0.75170222
-5147.87299128,0.75258701,0.00068931,0.75258697
-5163.49386735,0.75305151,0.00068974,0.75305147
-5171.41610578,0.75187886,0.00068867,0.75187882
-5155.45270716,0.75088150,0.00068777,0.75088146
-5147.92846324,0.75184212,0.00071745,0.75184208
-5133.39910235,0.75052192,0.00068743,0.75052188
-5128.58620209,0.75215161,0.00068893,0.75215158
-5124.56791589,0.75328352,0.00068996,0.75328348
-5117.81785224,0.75076175,0.00068765,0.75076172
-5110.88439812,0.74912560,0.00068625,0.74912557
-5097.93002223,0.74837397,0.00068797,0.74837393
-5077.08824944,0.75181113,0.00068860,0.75181109
-5112.64552708,0.74246648,0.00068006,0.74246645
-5071.34279648,0.74576512,0.00069458,0.74576508
-5109.61444919,0.74017628,0.00067797,0.74017624
-5049.40714362,0.74876347,0.00068581,0.74876344
-5031.17259336,0.74889291,0.00068594,0.74889287
-5027.96752405,0.74805684,0.00068516,0.74805680
-5010.19164253,0.75118811,0.00068803,0.75118807
-5002.48017916,0.74919652,0.00068621,0.74919649
-5000.80551479,0.74708836,0.00068429,0.74708832
-4982.74551421,0.75194702,0.00068873,0.75194698
-5058.14325136,0.72282907,0.00066206,0.72282903
-5103.14680509,0.71401864,0.00065398,0.71401861
-4952.82535057,0.75243405,0.00068919,0.75243401
-4939.24540461,0.75197982,0.00068875,0.75197978
-5075.18075450,0.71166701,0.00065183,0.71166697
-5133.39548075,0.69491881,0.00063649,0.69491878
-4922.79916271,0.73306992,0.00067145,0.73306988
-4995.05403610,0.71626733,0.00068955,0.71626729
-5292.36445244,0.66771705,0.00061158,0.66771702
-4938.39732549,0.72253913,0.00066179,0.72253909
-4951.10187879,0.71734276,0.04740646,0.71715084
-4860.95289812,0.74536459,0.00068271,0.74536456
-5360.16120133,0.61735991,0.00056545,0.61735988
-4839.43158251,0.74913026,0.00068615,0.74913022
-4915.11751642,0.69939785,0.24617884,0.69407014
-5100.53057941,0.65057094,0.00060091,0.65057090
-4970.01490483,0.70627388,0.09658381,0.70546443
-4800.25624246,0.74955856,0.00068655,0.74955852
-4791.41095884,0.74584148,0.00068316,0.74584144
-4793.06429581,0.74214588,0.00067976,0.74214584
-5073.46270736,0.66371812,0.05432501,0.66344571
-5065.93276252,0.66644709,0.00061278,0.66644706
-4945.46518995,0.70116608,0.00064221,0.70116604
-4830.65657252,0.71748188,0.00065716,0.71748184
-4722.56727592,0.74843544,0.00068551,0.74843541
-4795.91810339,0.72120090,0.00066057,0.72120086
-4877.86884967,0.70929900,0.00064966,0.70929896
-4863.23286244,0.71201440,0.00065216,0.71201436
-4816.50054508,0.71040436,0.00065068,0.71040433
-4660.75796154,0.75059478,0.00068751,0.75059474
-4660.05611282,0.75367710,0.00069031,0.75367706
-4647.34392905,0.75183683,0.00068862,0.75183679
-4645.44105211,0.74634140,0.00068359,0.74634137
-4630.22918193,0.74953197,0.00068653,0.74953193
-4606.72692825,0.75068518,0.00068758,0.75068514
-4604.10066971,0.74956677,0.00068655,0.74956673
-4603.47360965,0.74663339,0.00068386,0.74663335
-4586.65285044,0.75239744,0.00068914,0.75239740
-4583.57075507,0.74929101,0.00068629,0.74929097
-4557.34769005,0.75101191,0.00068787,0.75101187
-4561.16992299,0.74974971,0.00068671,0.74974967
-4546.41556693,0.75023098,0.00068715,0.75023095
-4538.98433622,0.75107586,0.00068797,0.75107582
-4534.23285219,0.74824452,0.00068533,0.74824448
-4538.13982447,0.75091420,0.00068778,0.75091416
-4541.16474841,0.75148278,0.00068835,0.75148274
-4562.65119960,0.74991823,0.00068686,0.74991819
-4575.75566074,0.74999655,0.00068696,0.74999652
-4683.23645513,0.71904226,0.00065861,0.71904222
-4607.29882895,0.74819362,0.00068528,0.74819358
