Zc,E0Tn,betaTn,elastic
3.32000000,0.35905804,0.21298595,0.28906687
2.89000000,0.36747456,0.15468282,0.33333283
2.78000000,0.36606296,0.18655177,0.31496115
2.78000000,0.36606296,0.18655177,0.31496115
2.78000000,0.36606296,0.18655177,0.31496115
2.84000000,0.40872945,0.15956359,0.37629672
3.93000000,0.42297541,0.13874645,0.39957180
3.48000000,0.39059807,0.15248530,0.35960407
3.72000000,0.42815781,0.14044641,0.40446745
3.24000000,0.31596031,0.23433263,0.21194135
3.72000000,0.35280746,0.22778232,0.26942219
3.86000000,0.39158348,0.17660811,0.34949563
1.98000000,0.32903789,0.16768318,0.28310472
2.42000000,0.32556725,0.21019528,0.24862015
4.44000000,0.40012184,0.19229126,0.35088682
3.30000000,0.36453551,0.19615012,0.30726416
2.76000000,0.36859498,0.15515444,0.33434916
3.86000000,0.33780794,0.14219511,0.30642251
2.65000000,0.33877953,0.20095716,0.27274126
1.65000000,0.28802996,0.22604574,0.17850654
2.36000000,0.34779004,0.19683076,0.28673256
3.03000000,0.34788528,0.19688466,0.28681109
3.49000000,0.38245670,0.17249184,0.34134980
3.57000000,0.38590988,0.19666610,0.33203747
3.53000000,0.32203127,0.21601366,0.23883517
3.30000000,0.38357724,0.14974444,0.35314034
3.77000000,0.42461009,0.13928266,0.40111602
3.48000000,0.40317338,0.18183527,0.35983983
4.11000000,0.34601427,0.22339645,0.26423456
3.39000000,0.38373598,0.17306881,0.34249159
3.71000000,0.41587669,0.16235380,0.38287682
3.51000000,0.36682772,0.19738353,0.30919625
3.62000000,0.41228979,0.14818016,0.38474084
2.93000000,0.33869904,0.23546101,0.24346489
3.02000000,0.38678141,0.17444233,0.34520970
3.42000000,0.26237491,0.23417455,0.11833374
3.93000000,0.42146213,0.13825006,0.39814225
2.16000000,0.32383608,0.20069738,0.25414636
3.41000000,0.39168177,0.14077347,0.36550983
3.32000000,0.33744493,0.22635290,0.25026674
3.35000000,0.40101979,0.10594759,0.38677123
3.51000000,0.35083385,0.23533399,0.26019666
2.88000000,0.35263623,0.13766540,0.32465451
2.87000000,0.33443898,0.18927477,0.27572539
3.52000000,0.41111217,0.10861394,0.39650501
3.20000000,0.38183431,0.16072734,0.34635844
3.77000000,0.37904539,0.20395763,0.31949443
3.78000000,0.44197750,0.15885015,0.41244484
3.72000000,0.39835494,0.15551350,0.36674543
3.18000000,0.38847186,0.12742843,0.36697736
2.89000000,0.33837621,0.17244215,0.29113942
3.30000000,0.39608815,0.15462857,0.36465851
2.92000000,0.36959782,0.16669236,0.32987302
3.37000000,0.28544647,0.19147313,0.21170197
3.32000000,0.33177157,0.16907632,0.28545679
4.11000000,0.40118157,0.19280054,0.35181615
3.25000000,0.35527312,0.14954681,0.32226502
2.28000000,0.26739507,0.20985149,0.16571806
3.55000000,0.38199165,0.13729077,0.35646721
3.01000000,0.32412916,0.19226685,0.26094668
3.54000000,0.40392990,0.14517555,0.37693955
4.38000000,0.35197002,0.26103931,0.23609612
3.55000000,0.38250204,0.16100840,0.34696412
2.69000000,0.32947344,0.19543697,0.26524920
1.29000000,0.29143257,0.20948863,0.20260172
2.41000000,0.32045602,0.23035137,0.22277860
2.41000000,0.32045602,0.23035137,0.22277860
2.73000000,0.31023954,0.18402781,0.24976456
2.73000000,0.31023954,0.18402781,0.24976456
3.49000000,0.40092889,0.11878544,0.38292818
3.70000000,0.41370074,0.14868726,0.38605751
3.60000000,0.40280000,0.11933980,0.38471528
3.48000000,0.39679283,0.15490367,0.36530728
3.21000000,0.28277231,0.24797715,0.13589521
2.49000000,0.33040701,0.18699289,0.27240127
3.79000000,0.41249393,0.08216301,0.40422826
3.57000000,0.39772651,0.14294600,0.37115067
2.25000000,0.28323692,0.21629450,0.18286564
2.63000000,0.35084148,0.14768137,0.31824512
2.79000000,0.32453974,0.14637071,0.28965783
3.30000000,0.37658718,0.15851864,0.34159881
2.10000000,0.29184741,0.22904167,0.18087240
3.48000000,0.39166837,0.12847696,0.36999700
2.49000000,0.32792254,0.18558681,0.27035297
2.26000000,0.32761267,0.21151587,0.25018214
2.26000000,0.32761267,0.21151587,0.25018214
2.59000000,0.33212356,0.21442822,0.25362689
3.23000000,0.37823476,0.17058771,0.33758165
3.30000000,0.37705925,0.17005754,0.33653248
3.47000000,0.38563970,0.12649941,0.36430190
3.32000000,0.35766150,0.18227025,0.30773252
3.24000000,0.35691125,0.20199289,0.29425247
2.70000000,0.35743790,0.16120811,0.31902006
3.32000000,0.38990200,0.16412331,0.35367656
3.17000000,0.35161584,0.13726705,0.32371508
1.44000000,0.31456066,0.20308913,0.24021494
3.44000000,0.39692632,0.10486611,0.38282320
0.57000000,0.22589236,0.15703866,0.16237678
2.67000000,0.39289102,0.00000000,0.39289102
3.99000000,0.36926301,0.21903934,0.29728259
1.67000000,0.27525517,0.20414358,0.18463697
1.67000000,0.27525517,0.20414358,0.18463697
3.25000000,0.37876027,0.18202527,0.33215379
2.95000000,0.38282369,0.03831900,0.38090107
2.95000000,0.38282369,0.03831900,0.38090107
3.34000000,0.39597429,0.15458412,0.36455368
3.48000000,0.37056408,0.16712815,0.33073542
2.63000000,0.32177470,0.19087024,0.25905118
3.12000000,0.35750785,0.18219195,0.30760032
3.70000000,0.38329366,0.18420394,0.33612935
2.84000000,0.37873381,0.24452110,0.28922091
2.41000000,0.34457816,0.14504493,0.31256372
4.46000000,0.35155539,0.26073179,0.23581799
3.32000000,0.37898212,0.12431556,0.35801269
2.07000000,0.31787762,0.19700462,0.24947016
3.58000000,0.35487612,0.21993444,0.27850656
2.88000000,0.34022285,0.21085307,0.26700668
3.41000000,0.37550732,0.16935760,0.33514736
3.41000000,0.37550732,0.16935760,0.33514736
3.01000000,0.35566806,0.18125436,0.30601736
1.99000000,0.33328526,0.00000000,0.33328526
2.59000000,0.33184014,0.20565789,0.26042794
