Zc,E0Tn,betaTn,elastic
-3633.14674259,0.75897669,0.00069517,0.75897665
-3630.17688528,0.76205759,0.00069798,0.76205755
-3634.95072393,0.75889013,0.00069510,0.75889009
-3652.73472399,0.74823130,0.00068532,0.74823126
-3685.58580517,0.74606130,0.00068336,0.74606126
-3635.77326363,0.75629177,0.00070667,0.75629172
-3645.72796291,0.75665344,0.00076479,0.75665339
-3641.81056987,0.75749173,0.00069380,0.75749169
-3648.71629881,0.76123462,0.00069828,0.76123458
-3651.06666465,0.76021197,0.00069654,0.76021194
-3656.87753951,0.76048301,0.00069656,0.76048297
-3659.43432736,0.75960189,0.00069574,0.75960185
-3659.33448894,0.75934292,0.00069550,0.75934288
-3668.86359419,0.75880201,0.00069502,0.75880198
-3670.49883206,0.76022691,0.00069631,0.76022687
-3671.42342262,0.75913694,0.00069531,0.75913690
-3669.97301882,0.76095451,0.00093458,0.76095444
-3675.13946098,0.76088656,0.00069691,0.76088652
-3677.64014075,0.76017017,0.00074591,0.76017013
-3708.18742470,0.73082270,0.00066937,0.73082266
-3685.71061018,0.76027634,0.00069636,0.76027630
-3688.68128642,0.75897608,0.00069516,0.75897604
-3690.57478804,0.76012749,0.00069622,0.76012745
-3691.35594261,0.76164759,0.00089503,0.76164753
-3701.31364033,0.75924082,0.00069544,0.75924078
-3741.28812978,0.74811091,0.00068521,0.74811087
-3842.62727819,0.71477195,0.00065468,0.71477191
-3705.90584966,0.75908979,0.00069527,0.75908975
-3735.02253170,0.74526081,0.00068261,0.74526077
-3709.89880473,0.76158976,0.00088469,0.76158970
-3710.69182103,0.76051762,0.00082308,0.76051756
-3721.59714464,0.75862244,0.00069486,0.75862240
-3723.39966555,0.75452689,0.00069110,0.75452685
-3746.37746472,0.74712878,0.00068431,0.74712874
-3730.56354168,0.75568767,0.00069219,0.75568763
-3758.98339758,0.75110993,0.00068798,0.75110989
-3733.84271629,0.75993342,0.00069604,0.75993338
-3744.90177821,0.75452569,0.00069109,0.75452566
-3739.47814827,0.75889565,0.00069509,0.75889561
-3741.92516799,0.75570605,0.00069218,0.75570601
-3758.06260340,0.75527078,0.00069177,0.75527074
-3768.83865244,0.75449883,0.00069106,0.75449879
-4094.51465501,0.68873511,0.00063083,0.68873507
-3768.30640581,0.75439509,0.00069097,0.75439506
-3786.24135539,0.74532461,0.00068268,0.74532457
-4033.67423939,0.58983473,0.69766612,0.53691676
-3784.20243737,0.75527139,0.00069177,0.75527135
-3779.61902263,0.75683753,0.00069322,0.75683749
-3949.09972209,0.69497128,0.02815521,0.69490141
-4064.90737206,0.67303753,0.00061645,0.67303750
-4143.34016031,0.63404990,0.03771241,0.63391250
-4388.15756118,0.62048781,0.00056831,0.62048777
-4841.54463443,0.59989259,0.00055488,0.59989256
-5396.82740702,0.53394784,0.00059317,0.53394780
-5635.31919505,0.49828496,0.07008266,0.49768086
-3778.88228981,0.75812284,0.00069440,0.75812280
-4791.32404548,0.56518333,0.00096720,0.56518323
-4808.90078576,0.52261109,0.44295006,0.49908643
-3819.44558727,0.74318399,0.00095262,0.74318391
-3802.92820468,0.75894989,0.00069515,0.75894985
-3806.95772698,0.75884718,0.00069505,0.75884714
-3812.98300604,0.75933919,0.00069551,0.75933915
-3809.18312402,0.75940866,0.00079976,0.75940861
-3815.18543662,0.76071061,0.00069675,0.76071057
-3816.35300735,0.76065875,0.00073069,0.76065871
-3809.97297015,0.76006583,0.00069661,0.76006579
-3811.23863615,0.76053480,0.00069659,0.76053476
-3811.88968665,0.75831312,0.00069457,0.75831309
-4219.41150555,0.59803655,0.00263140,0.59803584
-4642.20880257,0.59594949,0.31253671,0.58582429
-5001.00755115,0.57601381,0.00053056,0.57601378
-5300.32342420,0.52152033,0.14676258,0.51898448
-3791.51119893,0.75532124,0.00069181,0.75532120
-5799.98268910,0.49477032,0.05075229,0.49445135
-5331.63431239,0.56907584,0.00052123,0.56907581
-5129.68158712,0.56774514,0.00052003,0.56774511
-4826.47531987,0.56594415,0.00166039,0.56594385
-4737.70058811,0.62278415,0.00057043,0.62278412
-4465.10608776,0.62463083,0.00057211,0.62463079
-4238.67275026,0.63463629,0.00058128,0.63463625
-3813.80212598,0.73944317,0.00067727,0.73944313
